Year,Date,Time,City,NumberSpectators,Weather,HomeTeam,AwayTeam,HomeFPI,AwayFPI,HomeOdds,AwayOdds,HomeScore,AwayScore,Winner,HomeResult
1950,1950-09-30,19:00,Fresno,,Mist,Team A,Team G,80.61,81.82,3.14,2.59,1,1,Draw,0
1950,1950-11-18,12:00,Sacramento,,Cloudy,Team C,Team A,63.21,43.73,1.61,1.65,7,0,Team C,1
1950,1950-10-25,15:00,San Jose,28284.0,Cloudy,Team A,Team E,83.32,43.93,2.39,1.56,5,0,Team A,1
1950,1950-12-13,15:00,San Jose,23265.0,Cloudy,Team G,Team A,76.12,56.45,2.96,2.38,0,0,Draw,0
1950,1950-10-18,20:00,San Francisco,,Rain,Team A,Team L,60.05,50.65,3.31,1.68,17,0,Team A,1
1950,1950-10-27,20:00,Stockton,38962.0,Mist,Team O,Team A,83.8,56.78,2.92,1.72,7,6,Team O,1
1950,1950-10-16,21:00,Sacramento,,Sunny,Team A,Team B,50.62,76.77,2.41,2.36,1,0,Team A,1
1950,1950-09-21,13:00,Palo Alto,,Cloudy,Team E,Team A,43.89,49.99,3.39,1.56,0,0,Draw,0
1950,1950-12-23,16:00,Fresno,,Rain,Team A,Team P,63.49,54.04,3.38,3.2,0,12,Team P,-1
1950,1950-12-27,12:00,Berkeley,19433.0,Sunny,Team E,Team A,63.68,70.13,2.24,1.87,0,0,Draw,0
1950,1950-12-21,15:00,Santa Clara,,Rain,Team A,Team D,82.45,50.06,1.35,2.24,0,3,Team D,-1
1950,1950-09-30,17:00,San Francisco,,Rain,Team G,Team A,86.71,88.38,2.9,3.22,3,3,Draw,0
1950,1950-10-11,12:00,Hill Valley,36769.0,Cloudy,,Team P,54.4,49.58,3.42,2.43,18,9,Team A,1
1950,1950-11-20,15:00,Stockton,45693.0,Rain,Team K,Team A,76.9,51.47,2.8,1.77,1,6,Team A,-1
1950,1950-11-17,19:00,San Francisco,,Mist,Team A,Team E,82.33,47.46,2.14,3.18,18,0,Team A,1
